title,author,description,short_description,year,cover,original_title,original_isbn,q
Жребий,Стивен Кинг,"Все началось с того, что в провинциальном американском городке стали пропадать люди – поодиночке и целыми семьями. Их не могли найти ни родственники, ни даже полиция. А когда надежда, казалось, исчезла навсегда, пропавшие вернулись, и городок содрогнулся от ужаса...","Все началось с того, что в провинциальном американском городке стали пропадать люди – поодиночке и целыми семьями. Их не могли найти ни родственники, ни даже полиция. А когда надежда, казалось, исчезл",1990,https://images.amazon.com/images/P/0451168089.01.LZZZZZZZ.jpg,'Salem's Lot,0451168089,жребий стивен кинг
Фаворит,Дик Фрэнсис,"Дик Фрэнсис (1920–2010) — один из самых именитых английских авторов, писавших в жанре детектива. За свою жизнь он создал более 30 бестселлеров, получивших международное признание. Его романы посвящены преимущественно миру скачек — Фрэнсис знал его не понаслышке, ведь он родился в семье жокея и сам был знаменитым жокеем. Этот мир полон азарта, здесь кипят нешуточные страсти вокруг великолепных лошадей и крупных ставок в тотализаторах, здесь есть чем поживиться мошенникам. Все это и послужило материалом для увлекательного романа 1960-х годов «Фаворит», который стал бестселлером во многих странах мира.","Дик Фрэнсис (1920–2010) — один из самых именитых английских авторов, писавших в жанре детектива. За свою жизнь он создал более 30 бестселлеров, получивших международное признание. Его романы посвящены",1997,https://images.amazon.com/images/P/0399143025.01.LZZZZZZZ.jpg,10 Lb. Penalty,0399143025,фаворит дик фрэнсис
Книга как лекарство. Скорая литературная помощь от А до Я,Элла Берту,"Давно известно, что в трудные минуты жизни люди тянутся к книге – чтобы отвлечься от тягостных мыслей или получить разумный совет. Британские «библиотерапевты» Э. Берту и С. Элдеркин пошли еще дальше, предположив, что чтением можно лечить не только душу, но и тело. Они составили своеобразный «литературный лечебник», из которого читатель узнает, какие именно книги лучше всего читать при тех или иных заболеваниях. В этом справочнике литературных лечебных средств – бальзамы от Бальзака, кровоостанавливающие жгуты от Толстого, мази от Сарамаго, слабительное от Перека и Пруста и многое другое. Кроме того, «Книга как лекарство» – прекрасный обзор шедевров мировой литературы.В формате a4.pdf сохранен издательский макет.","Давно известно, что в трудные минуты жизни люди тянутся к книге – чтобы отвлечься от тягостных мыслей или получить разумный совет. Британские «библиотерапевты» Э. Берту и С. Элдеркин пошли еще дальше,",1982,https://images.amazon.com/images/P/0380006286.01.LZZZZZZZ.jpg,101 Dalmatians,0380006286,книга как лекарство скорая литературная помощь от а до я элла берту
Кедровая Бухта,Дебби Макомбер,"Оливия Локхарт, судья из маленького городка Кедровая Бухта, постоянно в центре событий и водовороте переживаний. Не ладится личная жизнь у ее взрослой дочери – Джастин боится открыть свое сердце большой любви, подменяя ее удобными отношениями. Общественное мнение городка будоражит принятое судьей нетривиальное решение, но, помня всю горечь своего развода, Оливия все-таки заставляет молодых супругов Яна и Сесилию, чьи отношения разладились после смерти новорожденной дочери, еще раз подумать, прежде чем расстаться. Оливия старается поддержать и подругу Грейс, которую оставил муж, причем повел себя так странно, что поступок его потряс родных и знакомых. Мать Оливии Шарлота, несмотря на почтенный возраст, очень энергичная дама, занялась делом благородным, но противоречащим букве закона. И наконец, сама Оливия готова полюбить вновь, и все так хорошо складывалось... Но ее мужчина что-то скрывает, Оливия же не терпит недомолвок...","Оливия Локхарт, судья из маленького городка Кедровая Бухта, постоянно в центре событий и водовороте переживаний. Не ладится личная жизнь у ее взрослой дочери – Джастин боится открыть свое сердце больш",2001,https://images.amazon.com/images/P/1551668300.01.LZZZZZZZ.jpg,16 Lighthouse Road,1551668300,кедровая бухта дебби макомбер
Второй шанс,Анна Фурман,"Вероника собрала все документы для удочерения и подготовила детскую. В органе опеки обещали, что всё пройдет без осложнений, но, как оказалось, эти обещания ничего не стоили. Теперь Веронике необходимо притвориться, что ничего и не было: ведь никакой другой ребенок, кроме Мариши, ей не нужен. Получится ли у Вероники жить как раньше? Или с этого момента всё изменится до неузнаваемости?","Вероника собрала все документы для удочерения и подготовила детскую. В органе опеки обещали, что всё пройдет без осложнений, но, как оказалось, эти обещания ничего не стоили. Теперь Веронике необходим",2002,https://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg,1st to Die: A Novel,0446610038,второй шанс анна фурман
Космическая Одиссея (сборник),Артур Чарльз Кларк,"Роман «2001: Космическая Одиссея», положивший начало целому циклу, был написан Артуром Кларком на основе собственного сценария к одноименному фильму Стэнли Кубрика, ставшему культовым для многих поколений зрителей. В романе писатель умышленно переставляет акценты, являя читателю новое, оригинальное произведение о силе человеческого духа и интеллекта. Философская глубина, оригинальность идей, крепкая научная составляющая и простой поэтичный язык – эти достоинства превратили книгу сэра Артура Кларка в шедевр, навсегда сделавший его Фантастом Номер Один.","Роман «2001: Космическая Одиссея», положивший начало целому циклу, был написан Артуром Кларком на основе собственного сценария к одноименному фильму Стэнли Кубрика, ставшему культовым для многих покол",2000,https://images.amazon.com/images/P/0451457994.01.LZZZZZZZ.jpg,2001: A Space Odyssey,0451457994,космическая одиссея сборник артур чарльз кларк
Get the Guy. Как найти и влюбить в себя мужчину твоей мечты,Мэттью Хасси,"В своей книге «Get the Guy» Мэтью Хасси – эксперт по отношениям, «доктор-сват» и звезда реалити-шоу Ready for Love – рассказывает, что мужчины на самом деле думают о женщинах, любви, сексе и серьезных отношениях и как женщинам использовать эти знания, чтобы найти свою половинку.Мэтью Хасси был востребованным бизнес-коучем и работал с такими компаниями-гигантами, как Hugo Boss и Proctor & Gamble. Через некоторое время Мэтью понял: многие женщины могут успешно провести переговоры на работе, но вечером в пабе проваливают знакомство с обычным парнем.Мэтью предлагает вам свой персональный тренинг по устройству личной жизни. Вас ждет 3-уровневая программа преображения. Уровень 1: Женщина, с которой хочется познакомиться. Уровень 2: Женщина, в которую хочется влюбиться. Уровень 3: Женщина, с которой хочется прожить жизнь.","В своей книге «Get the Guy» Мэтью Хасси – эксперт по отношениям, «доктор-сват» и звезда реалити-шоу Ready for Love – рассказывает, что мужчины на самом деле думают о женщинах, любви, сексе и серьезных",1993,https://images.amazon.com/images/P/0517595338.01.LZZZZZZZ.jpg,203 Ways to Drive a Man Wild in Bed,0517595338,get the guy как найти и влюбить в себя мужчину твоей мечты мэттью хасси
24 часа,Богдан Селиванов,"Две близкие подруги. Две переплетённые в крепкий узел судьбы. Одна давняя тайна из прошлого и нежданная беда, способные разорвать этот узел и погубить жизнь одной из подруг. Двадцать четыре часа на то, чтобы все исправить. Входит в ранее опубликованный сборник «Женские истории, рассказанные мужчиной».","Две близкие подруги. Две переплетённые в крепкий узел судьбы. Одна давняя тайна из прошлого и нежданная беда, способные разорвать этот узел и погубить жизнь одной из подруг. Двадцать четыре часа на то",2001,https://images.amazon.com/images/P/0451203593.01.LZZZZZZZ.jpg,24 Hours,0451203593,24 часа богдан селиванов
Годы риса и соли,Ким Робинсон,"В четырнадцатом веке Черная Смерть уничтожила в Европе треть населения. А что, если?.. Если эпидемия чумы уничтожила почти все население Европы? Как будет развиваться человечество? Это альтернативная история, в которой мир изменился. История, которая тянется через века, в которой правящие династии и нации поднимаются и рушатся. История потерь и открытий. Это – годы риса и соли. Вселенная, где Америку открывает китайский мореплаватель, промышленная революция начинается в Индии, главенствующие религии – ислам и буддизм, а реинкарнация реальна. Мы увидим рабов и королей, солдат и ученых, философов и жрецов. От степей Азии до Нового Света – перед нами предстанет потрясающая история дивного нового мира.","В четырнадцатом веке Черная Смерть уничтожила в Европе треть населения. А что, если?.. Если эпидемия чумы уничтожила почти все население Европы? Как будет развиваться человечество? Это альтернативная ",0,https://images.amazon.com/images/P/0006550789.01.LZZZZZZZ.jpg,253,0006550789,годы риса и соли ким робинсон
Четвертое июля,Джеймс Паттерсон,,,2004,https://images.amazon.com/images/P/0316603570.01.LZZZZZZZ.jpg,3rd Degree,0316603570,четвертое июля джеймс паттерсон
